Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
0,67,1,2,0,0,0,1169,6,2,0
1,22,0,2,0,0,1,5951,48,2,1
2,49,1,1,0,0,0,2096,12,5,0
3,45,1,2,2,0,0,7882,42,1,0
4,53,1,2,2,0,0,4870,24,0,1
5,35,1,1,2,0,0,9055,36,5,0
6,53,1,2,0,2,0,2835,24,1,0
7,35,1,3,1,0,1,6948,36,0,0
8,61,1,1,0,3,0,3059,12,2,0
9,28,1,3,0,0,1,5234,30,0,1
10,25,0,2,1,0,1,1295,12,0,1
11,24,0,2,1,0,0,4308,48,6,1
12,22,0,2,0,0,1,1567,12,2,0
13,60,1,1,0,0,0,1199,24,0,1
14,28,0,2,1,0,0,1403,15,0,0
15,32,0,1,0,1,0,1282,24,2,1
16,53,1,2,0,0,0,2424,24,2,0
17,25,1,2,0,0,0,8072,30,6,0
18,44,0,3,2,0,1,12579,24,0,1
19,31,1,2,0,2,0,3430,24,2,0
20,48,1,2,0,0,0,2134,9,0,0
21,44,1,2,1,2,0,2647,6,2,0
22,48,1,1,1,0,0,2241,10,0,0
23,44,1,2,0,1,1,1804,12,0,0
24,26,1,2,0,0,0,2069,10,1,0
25,36,1,1,0,0,0,1374,6,1,0
26,39,1,1,0,0,0,426,6,2,0
27,42,0,2,1,3,3,409,12,2,0
28,34,1,2,0,0,1,2415,7,2,0
29,63,1,2,0,0,0,6836,60,6,1
30,36,1,2,0,3,1,1913,18,6,0
31,27,1,2,0,0,0,4020,24,1,0
32,30,1,2,0,1,1,5866,18,0,0
33,57,1,1,1,0,0,1264,12,6,0
34,33,0,3,0,0,3,1474,12,1,0
35,25,1,1,0,0,1,4746,45,2,1
36,31,1,2,2,0,0,6110,48,5,0
37,37,1,2,0,0,3,2100,18,2,1
38,37,1,2,0,0,3,1225,10,3,0
39,24,1,2,0,0,1,458,9,2,0
40,30,1,3,0,2,0,2333,30,2,0
41,26,1,2,0,2,1,1158,12,2,0
42,44,1,1,0,0,1,6204,18,4,0
43,24,1,2,1,1,0,6187,30,0,0
44,58,0,1,2,0,0,6143,48,0,1
45,35,0,3,0,0,0,1393,11,0,0
46,39,1,2,0,2,0,2299,36,2,0
47,23,0,0,1,2,0,1352,6,0,0
48,39,1,1,0,0,0,7228,11,0,0
49,28,0,2,0,1,0,2073,12,2,0
50,29,1,1,0,0,1,2333,24,1,0
51,30,1,3,0,0,1,5965,27,0,0
52,25,1,2,0,0,0,1262,12,2,0
53,31,1,2,0,0,0,3378,18,0,0
54,57,1,2,2,0,1,2225,36,0,1
55,26,1,1,0,0,0,783,6,0,0
56,52,1,3,0,0,1,6468,12,2,1
57,31,0,2,0,0,0,9566,36,2,0
58,23,0,3,0,0,3,1961,18,0,0
59,23,0,1,1,0,0,6229,36,1,1
60,27,1,2,0,0,1,1391,9,6,0
61,50,1,2,0,0,1,1537,15,2,0
62,61,1,3,2,0,1,1953,36,6,1
63,25,1,2,0,0,1,14421,48,6,1
64,26,0,2,0,0,0,3181,24,2,0
65,48,1,2,0,0,0,5190,27,4,0
66,29,0,2,0,0,0,2171,12,2,0
67,22,1,2,0,3,1,1007,12,0,0
68,37,1,2,2,0,0,1819,36,5,1
69,25,0,2,0,0,0,2394,36,2,0
70,30,0,2,0,0,0,8133,36,0,0
71,46,1,1,1,0,0,730,7,2,0
72,51,1,3,2,0,0,1164,8,7,0
73,41,0,1,0,0,1,5954,42,6,0
74,40,1,3,0,0,0,1977,36,5,1
75,66,1,3,2,0,0,1526,12,0,0
76,34,1,2,0,0,0,3965,42,2,1
77,51,1,2,0,0,1,4771,11,2,0
78,39,1,1,0,0,0,9436,54,0,0
79,22,1,2,0,0,1,3832,30,1,0
80,44,0,2,0,0,0,5943,24,2,1
81,47,1,2,0,2,0,1213,15,2,0
82,24,0,1,1,1,0,1568,18,6,0
83,58,0,1,0,0,0,1755,24,7,0
84,52,1,1,0,0,0,2315,10,2,0
85,29,0,3,0,0,0,1412,12,6,0
86,27,0,2,0,0,1,1295,18,1,0
87,47,1,2,2,1,1,12612,36,5,1
88,30,1,3,0,1,0,2249,18,0,0
89,28,1,2,0,0,0,1108,12,4,1
90,56,1,2,0,0,0,618,12,2,0
91,54,1,2,0,0,0,1409,12,0,0
92,33,0,1,0,0,0,797,12,2,1
93,20,1,2,1,0,3,3617,24,1,0
94,54,1,2,0,3,1,1318,12,0,0
95,58,1,2,1,0,1,15945,54,6,1
96,61,0,2,0,0,0,2012,12,5,0
97,34,1,2,0,1,1,2622,18,6,0
98,36,1,2,0,0,1,2337,36,2,0
99,36,1,3,1,0,1,7057,20,0,0
100,41,1,1,1,1,0,1469,24,0,0
101,24,1,2,1,0,1,2323,36,2,0
102,24,0,2,0,0,0,932,6,2,0
103,35,1,2,1,0,1,1919,9,1,0
104,26,1,2,1,0,0,2445,12,0,0
105,39,1,3,0,0,1,11938,24,7,1
106,39,1,3,0,0,0,6458,18,0,1
107,32,1,2,0,0,1,6078,12,0,0
108,30,0,2,0,0,0,7721,24,1,0
109,35,1,2,0,2,1,1410,14,6,0
110,31,1,2,0,1,1,1449,6,6,0
111,23,0,2,1,0,3,392,15,5,0
112,28,1,1,1,0,1,6260,18,0,0
113,25,0,2,0,0,0,7855,36,0,1
114,35,1,2,0,2,0,1680,12,2,0
115,47,1,2,0,0,0,3578,48,2,0
116,30,0,3,0,0,0,7174,42,2,1
117,27,0,2,1,0,0,2132,10,1,0
118,23,0,2,0,2,0,4281,33,1,1
119,36,1,3,0,2,1,2366,12,0,0
120,25,0,2,0,0,0,1835,21,2,1
121,41,0,3,1,0,0,3868,24,0,0
122,24,1,1,1,0,0,1768,12,1,0
123,63,1,2,2,0,3,781,10,0,0
124,27,0,2,1,0,1,1924,18,1,1
125,30,1,2,0,0,0,2121,12,0,0
126,40,1,1,0,0,0,701,12,2,0
127,30,1,2,0,0,1,639,12,4,1
128,34,1,3,0,0,1,1860,12,0,0
129,29,0,2,0,0,0,3499,12,0,1
130,24,0,2,0,0,1,8487,48,0,0
131,29,1,2,0,0,0,6887,36,5,1
132,27,1,1,0,0,0,2708,15,1,0
133,47,1,2,2,0,0,1984,18,1,0
134,21,0,2,0,1,0,10144,60,2,0
135,38,0,2,0,0,0,1240,12,2,0
136,27,1,2,0,3,0,8613,27,0,0
137,66,1,1,0,2,1,766,12,2,1
138,35,1,2,0,0,1,2728,15,2,0
139,44,0,1,1,0,3,1881,12,2,0
140,27,1,0,0,3,3,709,6,0,0
141,30,0,3,0,0,1,4795,36,2,0
142,27,1,3,0,0,0,3416,27,2,0
143,22,1,2,0,0,0,2462,18,1,1
144,23,0,2,0,0,0,2288,21,1,0
145,30,1,2,0,1,1,3566,48,6,0
146,39,0,2,0,0,0,860,6,0,0
147,51,0,2,0,1,0,682,12,0,0
148,28,1,2,0,0,0,5371,36,1,0
149,46,1,2,0,3,0,1582,18,2,0
150,42,1,2,2,1,0,1346,6,2,0
151,38,1,2,0,0,0,1924,10,2,0
152,24,1,2,0,0,3,5848,36,2,0
153,29,0,2,1,3,1,7758,24,0,0
154,36,1,3,1,1,1,6967,24,6,0
155,20,0,2,1,0,0,1282,12,1,1
156,48,1,2,0,1,0,1288,9,4,0
157,45,1,1,0,0,0,339,12,5,0
158,38,1,2,0,1,1,3512,24,0,0
159,34,1,1,0,0,0,1898,6,2,0
160,36,1,2,0,1,0,2872,24,2,0
161,30,0,2,0,0,0,1055,18,0,0
162,36,1,2,0,2,0,1262,15,3,0
163,70,1,3,2,0,1,7308,10,0,0
164,36,1,2,0,2,0,909,36,0,0
165,32,1,2,0,2,0,2978,6,1,0
166,33,0,2,0,0,0,1131,18,1,1
167,20,0,2,0,3,1,1577,11,1,0
168,25,0,2,1,0,0,3972,24,1,0
169,31,1,2,0,0,1,1935,24,6,1
170,33,1,2,1,0,0,950,15,0,1
171,26,0,2,0,0,0,763,12,1,0
172,34,0,3,0,0,1,2064,24,1,1
173,33,1,2,0,0,1,1414,8,2,0
174,26,1,2,0,0,0,3414,21,5,1
175,53,0,3,0,0,0,7485,30,0,1
176,42,1,2,0,0,0,2577,12,1,0
177,52,1,2,0,2,0,338,6,2,0
178,31,1,3,1,0,0,1963,12,2,0
179,65,1,2,0,0,0,571,21,0,0
180,28,1,2,0,0,0,9572,36,6,1
181,30,1,3,0,0,1,4455,36,6,1
182,40,1,1,0,0,0,1647,21,0,1
183,50,1,2,0,3,0,3777,24,1,0
184,36,1,2,0,0,1,884,18,0,1
185,31,1,2,0,0,0,1360,15,2,0
186,74,0,3,2,0,1,5129,9,0,1
187,68,1,0,2,0,1,1175,16,0,0
188,20,1,2,0,1,0,674,12,2,1
189,33,0,2,0,0,1,3244,18,1,0
190,54,1,3,0,3,0,4591,24,6,1
191,34,1,1,2,1,1,3844,48,6,1
192,36,1,2,0,0,1,3915,27,6,1
193,29,1,2,1,0,0,2108,6,2,0
194,21,1,2,1,1,1,3031,45,2,1
195,34,0,3,0,0,1,1501,9,5,1
196,28,0,2,0,0,0,1382,6,2,0
197,27,0,2,1,1,1,951,12,1,1
198,36,1,2,2,0,1,2760,24,0,0
199,40,1,3,0,0,1,4297,18,1,1
200,52,1,2,0,2,0,936,9,5,0
201,27,1,1,0,0,0,1168,12,0,0
202,26,1,2,0,0,0,5117,27,6,0
203,21,1,2,1,0,0,902,12,5,1
204,38,1,1,0,0,0,1495,12,0,0
205,38,1,3,2,0,0,10623,30,0,0
206,43,1,2,0,0,0,1935,12,1,0
207,26,1,2,0,0,1,1424,12,3,0
208,21,1,1,0,0,0,6568,24,6,0
209,55,1,2,0,3,0,1413,12,0,0
210,33,1,2,0,0,0,3074,9,2,0
211,45,0,1,0,0,0,3835,36,2,0
212,50,1,2,0,0,0,5293,27,6,1
213,66,1,3,0,0,3,1908,30,6,1
214,51,1,2,0,0,0,3342,36,2,0
215,39,0,1,0,0,1,932,6,5,0
216,31,1,2,0,0,0,3104,18,6,0
217,23,1,2,0,0,3,3913,36,2,0
218,24,1,1,1,0,0,3021,24,1,0
219,64,0,2,0,0,0,1364,10,0,0
220,26,1,1,0,0,1,625,12,2,0
221,23,0,2,1,0,0,1200,12,5,0
222,30,1,2,0,0,0,707,12,2,0
223,32,1,2,0,0,0,2978,24,6,0
224,30,1,2,0,0,0,4657,15,0,0
225,27,1,2,0,0,0,2613,36,4,0
226,27,1,2,0,3,1,10961,48,2,1
227,53,1,3,2,0,0,7865,12,1,1
228,22,1,2,0,0,0,1478,9,2,1
229,22,1,2,2,0,0,3149,24,1,0
230,26,1,2,0,0,3,4210,36,2,1
231,51,1,1,2,2,0,2507,9,0,0
232,35,1,2,0,1,0,2141,12,2,0
233,25,1,1,0,0,1,866,18,2,0
234,42,1,1,0,0,0,1544,4,2,0
235,30,1,3,0,0,0,1823,24,2,1
236,23,1,0,0,0,1,14555,6,0,1
237,61,1,1,1,1,1,2767,21,6,1
238,35,0,2,0,0,0,1291,12,2,0
