Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
24,26,1,2,0,0,0,2069,10,1,0
467,32,1,2,0,0,0,7238,48,2,0
539,45,0,1,0,0,3,3049,18,1,0
531,28,0,2,1,1,1,2631,15,0,1
618,21,0,2,1,1,1,3441,30,1,1
694,28,1,2,0,0,0,2284,24,2,0
926,21,0,2,1,0,0,1049,18,1,0
338,28,1,2,0,0,0,4169,24,1,0
51,30,1,3,0,0,1,5965,27,0,0
507,34,1,3,0,1,1,6850,15,0,1
516,40,1,1,0,0,0,1361,6,0,0
920,28,0,2,0,0,0,1817,18,1,0
781,60,1,2,0,3,0,1940,24,0,0
264,32,1,1,0,0,0,1231,10,0,0
817,24,0,2,1,0,0,1554,6,2,0
710,32,1,3,0,2,0,629,18,2,0
682,33,1,2,0,0,0,1478,15,2,0
832,29,1,2,1,0,0,11816,45,6,1
518,43,1,2,0,1,0,1203,6,0,0
447,35,1,2,0,0,1,2576,7,2,0
18,44,0,3,2,0,1,12579,24,0,1
715,63,1,2,0,0,0,7596,30,0,0
483,30,0,2,0,3,0,960,15,1,0
568,41,1,2,0,0,1,3979,48,2,0
433,33,1,2,0,0,0,2058,24,4,0
367,22,0,2,1,0,0,3650,18,1,0
83,58,0,1,0,0,0,1755,24,7,0
61,50,1,2,0,0,1,1537,15,2,0
638,34,0,2,0,0,0,1493,12,2,0
272,36,1,3,2,0,1,12169,48,0,0
285,35,0,1,0,0,0,10722,47,0,0
360,61,1,2,2,0,1,1239,18,5,0
354,46,1,2,2,2,0,727,10,5,0
456,36,1,2,1,0,0,3905,11,0,0
278,32,0,2,0,0,0,4611,6,1,1
12,22,0,2,0,0,1,1567,12,2,0
182,40,1,1,0,0,0,1647,21,0,1
368,42,1,2,0,0,0,3446,36,1,1
881,48,1,2,2,0,0,9277,24,0,0
615,48,1,3,0,0,1,12204,48,6,0
223,32,1,2,0,0,0,2978,24,6,0
572,26,0,3,1,0,0,5433,24,0,0
970,22,1,2,0,1,1,1514,15,4,0
653,42,1,3,0,1,1,8086,36,0,1
545,43,1,2,2,0,0,1333,24,0,1
582,26,0,2,1,0,0,1388,9,1,0
633,19,0,2,1,0,0,1980,9,1,1
176,42,1,2,0,0,0,2577,12,1,0
665,27,1,3,0,0,0,6314,24,7,0
673,24,1,2,0,2,0,2080,6,0,0
585,20,0,2,1,0,0,2039,18,1,1
873,24,0,2,0,0,0,874,15,3,0
393,31,0,2,0,0,0,1957,6,2,0
163,70,1,3,2,0,1,7308,10,0,0
248,26,1,2,0,0,3,1925,24,1,0
634,25,0,1,0,0,1,1355,24,0,1
885,53,0,2,0,0,0,795,12,5,1
669,47,1,2,0,0,3,3017,30,2,0
375,37,0,2,1,0,0,7685,48,6,1
412,42,1,3,0,0,0,2292,12,6,1
74,40,1,3,0,0,0,1977,36,5,1
113,25,0,2,0,0,0,7855,36,0,1
598,31,1,2,0,0,0,2775,18,0,1
961,47,1,2,0,0,1,2353,21,0,0
390,30,1,3,0,0,0,1820,18,0,0
104,26,1,2,1,0,0,2445,12,0,0
114,35,1,2,0,2,0,1680,12,2,0
417,23,0,2,1,0,0,8471,18,5,0
525,30,1,2,0,0,1,7966,26,0,0
457,35,1,2,2,0,0,3386,12,0,1
409,28,1,2,0,2,3,939,12,0,1
92,33,0,1,0,0,0,797,12,2,1
930,24,1,1,0,0,0,1747,24,1,0
89,28,1,2,0,0,0,1108,12,4,1
336,23,0,1,0,0,1,2101,13,2,0
988,29,1,3,2,0,0,6579,24,0,0
921,37,1,3,0,2,0,12749,48,2,0
933,42,1,2,0,2,0,522,12,2,0
605,22,1,2,0,2,0,2828,24,1,0
593,20,0,1,1,0,1,2718,24,0,1
611,48,0,1,2,1,3,1240,10,0,1
94,54,1,2,0,3,1,1318,12,0,0
11,24,0,2,1,0,0,4308,48,6,1
396,55,0,3,2,0,0,2578,12,1,0
533,26,1,2,0,1,0,1311,24,2,0
43,24,1,2,1,1,0,6187,30,0,0
42,44,1,1,0,0,1,6204,18,4,0
329,28,1,2,0,0,1,1068,6,2,0
167,20,0,2,0,3,1,1577,11,1,0
497,40,1,2,0,0,0,1585,24,1,0
876,36,1,3,2,0,0,1940,18,2,0
597,36,1,1,0,0,1,4241,24,6,1
756,74,1,0,0,0,3,1299,6,0,0
100,41,1,1,1,1,0,1469,24,0,0
426,29,1,2,0,0,0,2743,28,2,0
178,31,1,3,1,0,0,1963,12,2,0
444,30,0,3,0,0,1,5096,48,1,1
416,33,1,1,0,0,0,2579,12,0,1
870,40,0,2,0,2,0,7678,36,1,0
882,36,1,2,0,0,1,2181,30,0,0
680,56,0,2,0,0,0,1538,6,5,0
177,52,1,2,0,2,0,338,6,2,0
395,32,1,2,1,1,1,11760,39,5,0
911,25,0,1,0,0,1,4736,24,1,1
793,51,1,2,2,0,3,2892,24,1,0
960,30,1,2,1,0,0,1740,6,2,0
684,31,1,1,0,1,1,9857,36,6,0
383,26,1,2,0,0,3,1330,12,0,0
956,49,1,1,0,0,3,3656,30,2,0
751,23,0,1,0,0,0,976,18,0,1
257,29,1,2,2,0,0,2149,12,2,1
538,42,1,3,2,0,0,7763,48,0,1
335,44,1,3,1,0,0,3384,6,1,1
15,32,0,1,0,1,0,1282,24,2,1
324,36,0,2,0,0,0,1028,18,0,0
758,31,1,2,0,0,0,1393,24,0,0
222,30,1,2,0,0,0,707,12,2,0
179,65,1,2,0,0,0,571,21,0,0
983,26,1,2,0,0,0,8229,36,0,1
22,48,1,1,1,0,0,2241,10,0,0
356,49,1,2,0,0,0,2331,12,2,0
666,34,1,2,0,3,1,3496,30,1,0
861,28,1,2,0,0,0,2169,18,6,1
340,24,0,2,2,0,1,5743,24,5,0
431,29,1,3,0,0,1,11328,24,7,1
551,45,1,1,0,2,0,1750,6,2,0
833,42,0,2,0,0,1,5084,24,2,0
203,21,1,2,1,0,0,902,12,5,1
630,28,0,2,0,0,0,3660,24,2,0
93,20,1,2,1,0,3,3617,24,1,0
558,27,1,2,0,0,0,3552,24,1,1
68,37,1,2,2,0,0,1819,36,5,1
622,38,1,2,0,0,0,3914,48,6,1
284,37,1,2,0,1,1,3878,24,0,0
844,47,1,2,0,0,0,3422,18,1,0
434,25,1,2,0,0,0,2136,9,1,0
153,29,0,2,1,3,1,7758,24,0,0
75,66,1,3,2,0,0,1526,12,0,0
730,33,1,2,0,0,1,6403,24,2,0
446,34,0,2,0,0,0,1842,36,0,1
188,20,1,2,0,1,0,674,12,2,1
271,37,0,2,1,2,0,1402,12,1,0
236,23,1,0,0,0,1,14555,6,0,1
487,62,0,2,2,0,0,3757,24,0,0
117,27,0,2,1,0,0,2132,10,1,0
943,42,1,1,0,0,0,1455,4,0,0
512,26,1,2,1,0,3,2687,15,6,0
825,30,1,2,0,0,0,1602,21,0,0
591,42,0,2,1,0,1,1965,24,0,0
126,40,1,1,0,0,0,701,12,2,0
116,30,0,3,0,0,0,7174,42,2,1
473,36,1,3,0,0,0,1238,6,5,0
693,44,1,1,0,0,0,4716,6,0,0
57,31,0,2,0,0,0,9566,36,2,0
863,32,1,1,0,3,0,4526,27,1,0
912,25,0,2,0,0,1,2991,30,2,0
369,40,0,2,1,0,1,3001,18,1,0
268,45,1,3,0,0,0,8978,14,0,1
46,39,1,2,0,2,0,2299,36,2,0
349,32,1,2,2,3,1,1136,9,5,1
195,34,0,3,0,0,1,1501,9,5,1
999,27,1,2,0,1,1,4576,45,0,0
834,25,0,1,0,0,3,2327,15,2,1
736,23,0,3,1,0,1,11560,24,0,1
263,57,0,1,2,0,0,2748,12,5,0
443,41,1,1,0,0,0,719,12,5,1
675,26,0,3,1,0,0,4530,30,2,0
304,44,1,2,2,2,0,10127,48,0,1
341,26,0,1,1,0,0,3599,21,1,0
966,23,1,1,0,2,1,2520,27,2,1
149,46,1,2,0,3,0,1582,18,2,0
124,27,0,2,1,0,1,1924,18,1,1
786,40,1,2,0,2,0,2675,22,2,0
50,29,1,1,0,0,1,2333,24,1,0
353,28,1,2,1,0,0,6199,12,2,1
927,39,1,2,2,0,0,10297,48,0,1
142,27,1,3,0,0,0,3416,27,2,0
470,22,1,2,1,1,1,3092,24,2,1
399,43,0,1,0,3,0,1516,24,2,0
625,35,1,2,0,0,0,1979,15,2,0
320,28,1,3,0,0,1,4249,30,0,1
19,31,1,2,0,2,0,3430,24,2,0
809,26,0,0,1,0,1,1778,15,0,1
790,39,0,2,0,0,1,1188,21,6,1
808,55,1,3,2,0,1,9283,42,0,0
407,27,1,2,0,0,0,1053,15,2,0
537,37,0,2,0,0,1,3612,18,1,0
620,27,1,2,0,0,1,3652,21,6,0
38,37,1,2,0,0,3,1225,10,3,0
175,53,0,3,0,0,0,7485,30,0,1
245,25,1,2,0,0,0,1258,24,6,0
828,47,1,2,2,0,0,8335,36,0,1
667,27,0,2,0,0,0,3609,48,6,0
754,55,1,2,2,3,0,1555,12,4,1
858,29,0,2,0,0,0,3959,15,0,1
154,36,1,3,1,1,1,6967,24,6,0
287,31,1,3,2,1,1,7582,48,7,0
602,34,0,1,2,0,1,1837,24,5,1
569,31,0,2,0,0,0,6758,48,2,1
743,22,1,2,0,2,0,2483,24,1,0
17,25,1,2,0,0,0,8072,30,6,0
127,30,1,2,0,0,1,639,12,4,1
322,34,1,3,2,0,0,2910,24,0,0
255,27,1,1,0,0,1,7418,60,2,0
657,37,1,2,0,0,0,10222,48,2,0
964,22,1,1,0,0,1,454,6,4,0
190,54,1,3,0,3,0,4591,24,6,1
115,47,1,2,0,0,0,3578,48,2,0
616,27,1,3,2,0,1,9157,60,2,0
606,74,1,3,0,0,0,4526,24,6,0
180,28,1,2,0,0,0,9572,36,6,1
301,42,0,2,0,0,1,3804,36,2,1
759,35,1,2,0,0,0,691,12,0,1
712,46,1,3,0,0,0,2476,21,0,0
723,66,0,1,0,2,1,790,9,2,0
685,34,1,2,2,0,0,6527,60,0,0
979,25,1,2,1,1,1,1264,15,0,1
517,23,0,2,1,0,0,7127,36,1,1
984,30,1,1,0,0,0,2028,24,1,0
45,35,0,3,0,0,0,1393,11,0,0
909,33,0,1,0,0,1,3195,9,0,0
157,45,1,1,0,0,0,339,12,5,0
851,43,1,2,0,0,0,4042,24,0,0
171,26,0,2,0,0,0,763,12,1,0
16,53,1,2,0,0,0,2424,24,2,0
511,32,1,3,2,0,0,4686,36,0,0
48,39,1,1,0,0,0,7228,11,0,0
971,43,1,1,0,0,0,7393,24,0,0
940,45,1,3,0,0,0,3527,12,0,0
515,37,0,2,0,0,0,609,6,0,0
952,28,0,2,1,2,1,4113,24,0,1
480,23,0,1,0,0,1,3573,12,2,0
283,63,1,2,0,0,0,1520,15,1,0
718,31,1,2,0,0,3,3148,24,2,0
877,28,1,2,0,0,0,3595,36,2,0
225,27,1,2,0,0,0,2613,36,4,0
26,39,1,1,0,0,0,426,6,2,0
954,29,0,2,0,0,0,1893,12,0,0
437,37,0,2,0,3,0,1287,24,0,0
951,24,1,2,0,0,0,2145,36,6,1
364,25,1,0,0,0,0,2473,18,1,1
229,22,1,2,2,0,0,3149,24,1,0
37,37,1,2,0,0,3,2100,18,2,1
965,26,0,2,0,0,1,1715,30,2,0
374,60,0,3,2,1,1,14782,60,7,1
469,35,1,1,0,0,0,4679,24,0,0
967,54,0,3,1,0,0,3568,15,2,0
850,33,1,2,1,0,0,2235,20,0,1
704,32,0,2,0,0,1,2528,27,6,0
841,28,1,1,0,0,0,2993,21,0,0
194,21,1,2,1,1,1,3031,45,2,1
854,45,1,2,0,0,0,10875,36,0,0
864,25,1,1,1,0,0,2210,10,1,1
503,38,1,2,0,1,1,1216,24,2,1
969,40,1,1,0,0,0,3939,11,0,0
830,44,1,2,0,2,0,2375,24,6,0
579,27,1,1,0,0,0,937,24,5,0
968,29,1,2,1,0,0,7166,42,2,0
162,36,1,2,0,2,0,1262,15,3,0
908,46,0,1,0,0,0,3594,15,0,0
152,24,1,2,0,0,3,5848,36,2,0
801,48,0,1,1,0,1,1795,18,2,0
993,30,1,3,0,0,0,3959,36,1,0
755,32,0,2,1,0,0,1285,24,0,1
111,23,0,2,1,0,3,392,15,5,0
226,27,1,2,0,3,1,10961,48,2,1
688,35,1,2,0,1,0,2753,9,2,0
103,35,1,2,1,0,1,1919,9,1,0
421,30,1,2,0,0,1,2028,12,0,0
419,33,0,2,0,0,1,1042,18,0,1
750,49,0,2,0,0,0,428,6,1,0
586,36,1,2,1,0,0,2799,9,0,0
780,25,1,2,0,0,1,4933,39,2,1
672,42,1,3,0,0,0,10366,60,0,0
119,36,1,3,0,2,1,2366,12,0,0
53,31,1,2,0,0,0,3378,18,0,0
151,38,1,2,0,0,0,1924,10,2,0
403,27,1,1,0,0,0,802,14,0,0
945,30,0,2,0,2,1,8358,48,0,0
207,26,1,2,0,0,1,1424,12,3,0
658,28,0,2,0,0,1,4221,30,6,0
843,50,1,2,0,0,0,1559,24,6,0
762,24,1,1,0,0,0,2214,12,2,0
8,61,1,1,0,3,0,3059,12,2,0
807,65,1,2,0,0,0,930,12,2,0
36,31,1,2,2,0,0,6110,48,5,0
452,34,1,2,0,0,0,2759,12,1,0
651,37,1,1,0,0,1,1922,12,1,1
253,35,1,2,0,1,0,4151,24,1,0
303,49,1,2,0,0,0,1038,10,0,0
746,23,0,2,1,0,0,2511,15,0,0
571,38,1,2,0,0,0,5954,30,2,0
623,22,0,2,1,0,0,1858,12,1,0
732,44,0,1,0,0,1,760,8,2,0
891,46,1,2,0,0,0,1829,15,2,0
262,36,1,3,2,0,0,5302,18,0,0
610,22,0,2,0,1,0,741,12,3,1
297,45,1,1,0,0,0,1287,10,0,0
414,35,0,2,0,0,0,1381,24,0,1
150,42,1,2,2,1,0,1346,6,2,0
788,50,1,2,2,0,1,6224,48,5,1
640,27,0,0,0,0,0,750,18,5,1
889,40,1,2,1,0,0,7824,28,0,0
550,23,0,2,0,0,0,996,12,4,0
886,34,1,2,0,0,1,2825,24,6,0
488,35,1,1,1,1,0,1418,10,0,0
147,51,0,2,0,1,0,682,12,0,0
146,39,0,2,0,0,0,860,6,0,0
720,34,1,3,0,0,3,1337,9,2,1
931,22,0,2,0,0,1,1670,9,2,1
739,26,0,1,1,1,1,4280,30,6,1
659,41,1,2,0,0,1,6361,18,1,0
348,34,1,1,0,1,0,1743,6,6,0
463,38,1,2,0,0,1,754,12,5,0
325,39,1,1,0,0,0,3398,8,0,0
186,74,0,3,2,0,1,5129,9,0,1
123,63,1,2,2,0,3,781,10,0,0
853,32,1,1,2,0,0,1442,18,0,1
608,33,1,2,0,0,0,2051,18,2,0
143,22,1,2,0,0,0,2462,18,1,1
958,45,1,1,0,0,0,4006,28,0,1
197,27,0,2,1,1,1,951,12,1,1
609,45,1,2,2,0,0,1300,15,0,0
279,29,1,3,1,1,0,1901,24,2,0
293,56,1,2,2,0,3,4796,42,0,0
400,39,1,2,0,0,0,1473,18,2,0
122,24,1,1,1,0,0,1768,12,1,0
183,50,1,2,0,3,0,3777,24,1,0
202,26,1,2,0,0,0,5117,27,6,0
438,65,1,0,0,0,0,3394,42,4,0
246,52,1,2,0,0,0,717,12,2,0
415,35,1,2,0,0,0,5842,36,0,0
932,30,1,2,0,0,0,1224,9,0,0
765,40,1,1,0,0,1,1155,12,2,0
906,24,1,1,0,0,0,3763,21,0,0
835,48,1,2,0,0,0,1082,12,0,1
887,23,1,2,0,0,1,15672,48,6,1
129,29,0,2,0,0,0,3499,12,0,1
637,21,1,2,0,0,0,15653,60,2,0
402,27,1,2,0,0,0,8648,24,6,1
784,60,1,3,0,0,1,6468,20,0,0
770,26,0,2,1,0,0,2812,24,0,0
735,29,0,0,0,0,1,3990,36,3,0
913,28,1,2,0,3,0,2142,11,6,0
219,64,0,2,0,0,0,1364,10,0,0
641,38,1,1,0,0,1,1308,15,4,0
915,32,0,3,0,0,1,18424,48,7,1
752,23,0,1,1,1,1,841,12,6,0
806,26,1,1,0,0,1,590,6,2,0
919,39,1,3,1,0,0,3345,24,1,1
624,65,1,2,2,0,0,2600,18,2,1
874,29,1,1,0,0,0,3590,12,1,0
760,59,0,2,0,0,0,5045,15,0,0
386,21,0,2,1,0,0,1126,18,2,0
972,29,0,0,1,0,0,1193,24,0,1
509,45,1,3,0,1,0,8588,39,0,0
267,38,0,2,0,0,0,1533,24,2,0
819,26,1,2,0,0,0,1345,18,2,1
441,30,0,2,0,0,0,1620,12,1,0
496,29,1,3,1,1,1,9034,36,1,1
112,28,1,1,1,0,1,6260,18,0,0
691,25,0,1,0,1,1,2631,15,4,0
232,35,1,2,0,1,0,2141,12,2,0
869,24,0,2,1,0,0,652,12,1,0
607,50,0,2,2,1,1,2671,36,2,1
671,31,1,2,0,1,0,5742,36,6,0
373,63,1,3,2,0,0,13756,60,0,0
981,33,1,3,1,0,0,4844,48,6,1
842,23,0,2,0,0,0,1943,18,4,1
233,25,1,1,0,0,1,866,18,2,0
785,35,1,1,0,3,1,1941,18,6,0
676,33,1,2,0,0,0,5150,24,1,0
317,48,0,1,0,0,1,4351,24,1,0
648,38,1,2,2,0,3,947,24,0,1
410,20,0,2,0,0,1,1967,24,2,0
898,33,0,1,1,0,0,2186,15,1,0
709,37,1,1,0,0,1,2118,9,2,0
358,28,1,2,0,0,0,776,12,2,0
258,23,0,2,0,1,0,3812,15,0,0
744,30,1,3,0,0,0,14179,39,1,0
627,29,1,2,0,1,1,1437,9,0,1
632,23,1,2,0,0,1,1444,15,2,0
282,49,1,1,0,0,3,1445,18,2,0
376,34,1,2,0,0,0,2320,18,2,0
384,26,1,1,0,1,0,4272,30,6,0
224,30,1,2,0,0,0,4657,15,0,0
953,26,0,3,0,0,0,10974,36,1,1
814,46,1,2,2,0,0,3931,48,0,1
472,28,1,1,0,0,0,654,9,0,1
347,23,0,0,1,2,1,3758,24,2,0
505,27,1,1,0,0,0,1309,10,0,1
639,26,1,2,0,0,0,4370,42,2,1
987,64,0,2,0,1,0,1409,13,2,0
928,58,1,2,0,0,0,1867,30,2,0
905,20,1,3,1,0,0,1107,12,2,0
619,49,1,1,0,0,0,640,12,0,0
855,33,1,2,0,1,0,1474,24,0,0
803,35,1,2,0,0,0,976,12,2,0
645,27,1,2,1,0,0,7980,36,6,1
846,68,1,2,1,0,0,6761,18,0,1
556,28,0,2,0,1,1,2278,18,0,1
957,37,1,1,0,0,1,1154,9,2,0
577,33,0,2,0,0,0,1927,24,5,0
795,22,0,2,1,1,0,2301,9,1,0
85,29,0,3,0,0,0,1412,12,6,0
242,24,1,2,2,0,0,4605,48,0,1
698,24,1,2,0,0,0,1800,18,2,0
159,34,1,1,0,0,0,1898,6,2,0
524,26,0,1,0,0,1,1113,18,2,0
35,25,1,1,0,0,1,4746,45,2,1
540,23,1,2,1,0,1,1534,12,2,1
170,33,1,2,1,0,0,950,15,0,1
654,35,1,2,0,0,0,2346,24,0,0
890,43,1,3,0,0,0,2442,27,6,0
857,28,1,2,2,0,0,3343,15,1,0
847,28,1,2,0,0,0,1249,24,0,0
944,46,0,2,1,0,0,1845,15,1,0
733,28,0,2,1,3,0,2603,24,0,0
95,58,1,2,1,0,1,15945,54,6,1
563,37,1,2,2,0,1,12389,36,0,1
240,29,0,2,0,0,0,915,24,0,1
742,41,1,2,0,0,0,3160,21,2,0
574,27,1,1,0,0,1,1082,9,2,0
